,sec_code,beta,alpha,adf_factor,stochastic,mean,std,category
0,300157.XSHE,0.521486805066,0.521479400487,7.88278929605e-20,0.312989474672,-0.0435400409607,0.0274229876329,HY401
1,600583.XSHG,0.521836934003,0.521829485096,1.2642627801e-07,0.964767522571,-0.0436289240787,0.0177869455455,HY401
2,601798.XSHG,0.520838992499,0.520834821609,0.0,0.104578152741,-0.043575177433,0.0184125325747,HY401
3,300164.XSHE,0.522172234592,0.522165787136,0.0,0.786636820871,-0.0436491610923,0.0266037994372,HY401
4,002353.XSHE,0.522091910023,0.522084685488,0.0,0.653648625282,-0.0436739225303,0.0238493686313,HY401
5,601808.XSHG,0.52182902251,0.521824341138,0.0,0.458382629541,-0.04359879478,0.0193606250185,HY401
6,000852.XSHE,0.522055289721,0.522050395148,2.01538612879e-12,0.0606182297539,-0.0435969663778,0.0317780663206,HY401
7,300191.XSHE,0.521350126505,0.521344515283,0.0,0.544069667404,-0.0436467558723,0.0279775204105,HY401
8,600871.XSHG,0.521229670433,0.521230035707,1.77828942754e-08,0.150912207513,-0.0436084534413,0.0176335815954,HY401
9,300084.XSHE,0.5211975403,0.521188096842,5.28611648944e-18,0.400073284454,-0.0436607034968,0.0258172491383,HY401
10,002554.XSHE,0.521401417989,0.521394726343,0.0,0.989376853883,-0.0436058188891,0.0257079919866,HY401
11,002490.XSHE,0.521327997842,0.52132050421,3.82724109578e-29,0.0987614189024,-0.0437310515545,0.0254399568323,HY401
0,601857.XSHG,0.52201213045,0.522009449089,0.0,0.323119975974,-0.0435732779517,0.0104286469641,HY402
1,600028.XSHG,0.52214172663,0.522139248561,0.0,0.178573874795,-0.0435242977461,0.0131149113287,HY402
0,600777.XSHG,0.520686683862,0.520686320407,7.63172534623e-16,0.0981277926826,-0.0437485864455,0.0385963376568,HY403
1,600256.XSHG,0.522029483688,0.522024343465,0.0,0.328605692948,-0.0435971074265,0.0167207041188,HY403
2,600759.XSHG,0.521184495506,0.521186921036,7.96636959947e-22,0.554652562262,-0.043635829837,0.0208564630259,HY403
3,000968.XSHE,0.522359151138,0.522349514654,0.0,0.188691924319,-0.0435010213194,0.0253172192017,HY403
0,000554.XSHE,0.521502500941,0.521495863789,0.0,0.123287060354,-0.0435345101076,0.0240303046409,HY404
1,603798.XSHG,0.520499237169,0.520490873144,0.0,0.0786502087294,-0.0436716606969,0.034399239441,HY404
2,000059.XSHE,0.521667418991,0.521658826402,0.0,0.672007886364,-0.0434989622198,0.0195744124982,HY404
3,002221.XSHE,0.521443112859,0.521437049715,0.0,0.400623063539,-0.0435737221658,0.0190522251747,HY404
4,600387.XSHG,0.521775342142,0.52176770463,0.0,0.193321833876,-0.0436041691411,0.0223007237508,HY404
5,000096.XSHE,0.521456559478,0.521458418269,1.45339319272e-17,0.827597454172,-0.0435292813356,0.0153832042135,HY404
6,600688.XSHG,0.521753601338,0.521752878178,1.09804994666e-13,0.991654185784,-0.04354600654,0.0113091450125,HY404
7,002778.XSHE,0.521022206482,0.521016058472,0.0,0.873708138637,-0.0436836749231,0.0259195052567,HY404
8,000159.XSHE,0.521355596032,0.521348810559,0.0,0.769872805019,-0.0435964455924,0.0239802792245,HY404
9,603003.XSHG,0.520844424452,0.520837223435,0.0,0.50536206938,-0.0436105014937,0.0227401288603,HY404
0,000637.XSHE,0.521159225877,0.521154443484,5.57017817442e-22,0.387520185402,-0.0435827333718,0.0178057252136,HY405
1,600141.XSHG,0.521898572631,0.521884036008,0.0,0.577992523796,-0.0435266817769,0.0272397390968,HY405
2,000973.XSHE,0.521006487906,0.520999323375,0.0,0.925311245097,-0.0435906487138,0.0212486024817,HY405
3,002450.XSHE,0.521696776478,0.521700169323,0.0,0.982004614242,-0.0434935814249,0.0143508312382,HY405
4,002053.XSHE,0.520786392307,0.520786239947,5.2332275205e-28,0.0740441187736,-0.0436639885614,0.0307574132741,HY405
5,601216.XSHG,0.521310764332,0.521307700681,2.02429677509e-25,0.66446763072,-0.0435327445745,0.0160788844859,HY405
6,600281.XSHG,0.521326483216,0.521320638566,1.81852609357e-29,0.330586836551,-0.0435601092255,0.0244302532571,HY405
7,002407.XSHE,0.520849182884,0.520841106446,0.0,0.3815930671,-0.0436190030687,0.0240547596838,HY405
8,300320.XSHE,0.521049582768,0.521041437114,0.0,0.196612478722,-0.0435010921387,0.0303583417453,HY405
